Date,Vix_Price
20070103,12.04
20070104,11.51
20070105,12.14
20070108,12
20070109,11.91
20070110,11.47
20070111,10.87
20070112,10.15
20070116,10.74
20070117,10.59
20070118,10.85
20070119,10.4
20070122,10.77
20070123,10.34
20070124,9.89
20070125,11.22
20070126,11.13
20070129,11.45
20070130,10.96
20070131,10.42
20070201,10.31
20070202,10.08
20070205,10.55
20070206,10.65
20070207,10.32
20070208,10.44
20070209,11.1
20070212,11.61
20070213,10.34
20070214,10.23
20070215,10.22
20070216,10.02
20070220,10.24
20070221,10.2
20070222,10.18
20070223,10.58
20070226,11.15
20070227,18.31
20070228,15.42
20070301,15.82
20070302,18.61
20070305,19.63
20070306,15.96
20070307,15.24
20070308,14.29
20070309,14.09
20070312,13.99
20070313,18.13
20070314,17.27
20070315,16.43
20070316,16.79
20070319,14.59
20070320,13.27
20070321,12.19
20070322,12.93
20070323,12.95
20070326,13.16
20070327,13.48
20070328,14.98
20070329,15.14
20070330,14.64
20070402,14.53
20070403,13.46
20070404,13.24
20070405,13.23
20070409,13.14
20070410,12.68
20070411,13.49
20070412,12.71
20070413,12.2
20070416,11.98
20070417,12.14
20070418,12.42
20070419,12.54
20070420,12.07
20070423,13.04
20070424,13.12
20070425,13.21
20070426,12.79
20070427,12.45
20070430,14.22
20070501,13.51
20070502,13.08
20070503,13.09
20070504,12.91
20070507,13.15
20070508,13.21
20070509,12.88
20070510,13.6
20070511,12.95
20070514,13.96
20070515,14.01
20070516,13.5
20070517,13.51
20070518,12.76
20070521,13.3
20070522,13.06
20070523,13.24
20070524,14.08
20070525,13.34
20070529,13.53
20070530,12.83
20070531,13.05
20070601,12.78
20070604,13.29
20070605,13.63
20070606,14.87
20070607,17.06
20070608,14.84
20070611,14.71
20070612,16.67
20070613,14.73
20070614,13.64
20070615,13.94
20070618,13.42
20070619,12.85
20070620,14.67
20070621,14.21
20070622,15.75
20070625,16.65
20070626,18.89
20070627,15.53
20070628,15.54
20070629,16.23
20070702,15.4
20070703,14.92
20070705,15.48
20070706,14.72
20070709,15.16
20070710,17.57
20070711,16.64
20070712,15.54
20070713,15.15
20070716,15.59
20070717,15.63
20070718,16
20070719,15.23
20070720,16.95
20070723,16.81
20070724,18.55
20070725,18.1
20070726,20.74
20070727,24.17
20070730,20.87
20070731,23.52
20070801,23.67
20070802,21.22
20070803,25.16
20070806,22.94
20070807,21.56
20070808,21.45
20070809,26.48
20070810,28.3
20070813,26.57
20070814,27.68
20070815,30.67
20070816,30.83
20070817,29.99
20070820,26.33
20070821,25.25
20070822,22.89
20070823,22.62
20070824,20.72
20070827,22.72
20070828,26.3
20070829,23.81
20070830,25.06
20070831,23.38
20070904,22.78
20070905,24.58
20070906,23.99
20070907,26.23
20070910,27.38
20070911,25.27
20070912,24.96
20070913,24.76
20070914,24.92
20070917,26.48
20070918,20.35
20070919,20.03
20070920,20.45
20070921,19
20070924,19.37
20070925,18.6
20070926,17.63
20070927,17
20070928,18
20071001,17.84
20071002,18.49
20071003,18.8
20071004,18.44
20071005,16.91
20071008,17.46
20071009,16.12
20071010,16.67
20071011,18.88
20071012,17.73
20071015,19.25
20071016,20.02
20071017,18.54
20071018,18.5
20071019,22.96
20071022,21.64
20071023,20.41
20071024,20.8
20071025,21.17
20071026,19.56
20071029,19.87
20071030,21.07
20071031,18.53
20071101,23.21
20071102,23.01
20071105,24.31
20071106,21.39
20071107,26.49
20071108,26.16
20071109,28.5
20071112,31.09
20071113,24.1
20071114,25.94
20071115,28.06
20071116,25.49
20071119,26.01
20071120,24.88
20071121,26.84
20071123,25.61
20071126,28.91
20071127,26.28
20071128,24.11
20071129,23.97
20071130,22.87
20071203,23.61
20071204,23.79
20071205,22.53
20071206,20.96
20071207,20.85
20071210,20.74
20071211,23.59
20071212,22.47
20071213,22.56
20071214,23.27
20071217,24.52
20071218,22.64
20071219,21.68
20071220,20.58
20071221,18.47
20071224,18.6
20071226,18.66
20071227,20.26
20071228,20.74
20071231,22.5
20080102,23.17
20080103,22.49
20080104,23.94
20080107,23.79
20080108,25.43
20080109,24.12
20080110,23.45
20080111,23.68
20080114,22.9
20080115,23.34
20080116,24.38
20080117,28.46
20080118,27.18
20080122,31.01
20080123,29.02
20080124,27.78
20080125,29.08
20080128,27.78
20080129,27.32
20080130,27.62
20080131,26.2
20080201,24.02
20080204,25.99
20080205,28.24
20080206,28.97
20080207,27.66
20080208,28.01
20080211,27.6
20080212,26.33
20080213,24.88
20080214,25.54
20080215,25.02
20080219,25.59
20080220,24.4
20080221,25.12
20080222,24.06
20080225,23.03
20080226,21.9
20080227,22.69
20080228,23.53
20080229,26.54
20080303,26.28
20080304,25.52
20080305,24.6
20080306,27.55
20080307,27.49
20080310,29.38
20080311,26.36
20080312,27.22
20080313,27.29
20080314,31.16
20080317,32.24
20080318,25.79
20080319,29.84
20080320,26.62
20080324,25.73
20080325,25.72
20080326,26.08
20080327,25.88
20080328,25.71
20080331,25.61
20080401,22.68
20080402,23.43
20080403,23.21
20080404,22.45
20080407,22.42
20080408,22.36
20080409,22.81
20080410,21.98
20080411,23.46
20080414,23.82
20080415,22.78
20080416,20.53
20080417,20.37
20080418,20.13
20080421,20.5
20080422,20.87
20080423,20.26
20080424,20.06
20080425,19.59
20080428,19.64
20080429,20.24
20080430,20.79
20080501,18.88
20080502,18.18
20080505,18.9
20080506,18.21
20080507,19.73
20080508,19.4
20080509,19.41
20080512,17.79
20080513,17.98
20080514,17.66
20080515,16.3
20080516,16.47
20080519,17.01
20080520,17.58
20080521,18.59
20080522,18.05
20080523,19.55
20080527,19.64
20080528,19.07
20080529,18.14
20080530,17.83
20080602,19.83
20080603,20.24
20080604,20.8
20080605,18.63
20080606,23.56
20080609,23.12
20080610,23.18
20080611,24.12
20080612,23.33
20080613,21.22
20080616,20.95
20080617,21.13
20080618,22.24
20080619,21.58
20080620,22.87
20080623,22.64
20080624,22.42
20080625,21.14
20080626,23.93
20080627,23.44
20080630,23.95
